source_site,brand,model,year,vehicle_age,mileage_km,log_mileage,transmission,fuel_type,engine_cc,location,price_lkr,log_price
ikman,Nissan,X-Trail,2015.0,11.0,1090100.0,13.901780910463062,Automatic,Petrol,20000.0,"Polgasowita, Colombo",102000000,18.440483381052466
ikman,Suzuki,Every,2026.0,0.0,0.0,0.0,Other,Other,6500.0,"Kohuwala, Colombo",90600000,18.321964782050735
ikman,Nissan,Other,1985.0,41.0,1100000.0,13.910821646859095,Manual,Petrol,13000.0,"Wariyapola, Kurunegala",7750000,15.86320353036178
ikman,Suzuki,Swift,2005.0,21.0,1500000.0,14.220976332738882,Automatic,Petrol,13000.0,"Akurana, Kandy",58750000,17.88880172800982
ikman,Suzuki,Every,2025.0,1.0,0.0,0.0,Other,Other,6500.0,"Galle City, Galle",82000000,18.22222981742365
ikman,Toyota,Liteace,1983.0,43.0,4300000.0,15.274125813221904,Other,Other,15000.0,"Katugastota, Kandy",26500000,17.0926553286923
ikman,Daihatsu,Mira,2025.0,1.0,250.0,5.5254529391317835,Automatic,Petrol,6600.0,Kohuwala,81500000,18.21611359048103
ikman,Kia,Sportage,2011.0,15.0,1160000.0,13.963931425151141,Automatic,Petrol,20000.0,"Kegalle City, Kegalle",76500000,18.15280131186866
ikman,Nissan,Other Model,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,Kohuwala,98500000,18.405567116294602
ikman,Mitsubishi,Ek Wagon,2024.0,2.0,67000.0,11.112462823634855,Automatic,Petrol,6600.0,Gampaha City,75000000,18.132998684833918
ikman,Suzuki,Every,2000.0,26.0,1750000.0,14.375126917328105,Other,Other,6500.0,"Maharagama, Colombo",36750000,17.419648810834005
ikman,Toyota,Aqua,2018.0,8.0,1400000.0,14.151983508870947,Automatic,Hybrid,14960.0,Dehiwala,92500000,18.342719213293464
ikman,Suzuki,Wagon R Zx,2026.0,0.0,0.0,0.0,Automatic,Hybrid,6500.0,"Nittambuwa, Gampaha",93750000,18.35614223348146
ikman,Kia,Sonet,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,,122900000,18.62688158267296
ikman,Nissan,Other,2020.0,6.0,730000.0,13.500801182986649,Automatic,Petrol,10000.0,"Dehiwala, Colombo",119500000,18.59882693770404
ikman,Mahindra,Other,2026.0,0.0,0.0,0.0,Manual,Diesel,21790.0,"Trincomalee City, Trincomalee",76228810,18.149250046309035
ikman,Toyota,Other,2006.0,20.0,1480000.0,14.207553321415745,Automatic,Diesel,30000.0,Boralesgamuwa,127900000,18.666759274367678
ikman,Toyota,Chr,2018.0,8.0,750000.0,13.527829818844937,Automatic,Petrol,12000.0,"Nugegoda, Colombo",139000000,18.749984498289212
ikman,Suzuki,Every,2017.0,9.0,810000.0,13.60479076121576,Other,Other,6000.0,"Negombo, Gampaha",52500000,17.77632374660947
ikman,Hyundai,Santa Fe,2015.0,11.0,930000.0,13.742940940397677,Automatic,Diesel,22000.0,"Colombo 4, Colombo",135000000,18.72078534381011
ikman,Kia,Sonet,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,Kohuwala,104900000,18.468518082899415
ikman,Suzuki,Every,2017.0,9.0,1430000.0,14.173185701536545,Other,Other,6600.0,"Elpitiya, Galle",64600000,17.983724984232705
ikman,Suzuki,Alto,2017.0,9.0,1067090.0,13.880446812495432,Automatic,Petrol,6600.0,"Galle City, Galle",56500000,17.849751213815786
ikman,Chery,Other,2024.0,2.0,123000.0,11.719947764402807,Automatic,Petrol,15000.0,Kolonnawa,94500000,18.36411040304598
ikman,Suzuki,Every,2025.0,1.0,830.0,6.7226297948554485,Other,Other,6600.0,"Matara City, Matara",90000000,18.31532023940565
ikman,Toyota,Corolla,1985.0,41.0,2755450.0,14.82909168953073,Manual,Petrol,15000.0,"Anuradhapura City, Anuradhapura",14650000,16.499950961686732
ikman,Toyota,Raize,2025.0,1.0,0.0,0.0,Automatic,Petrol,10000.0,"Galle City, Galle",139750000,18.75536567715512
ikman,Land Rover,Other,2011.0,15.0,1450000.0,14.187074804051692,Automatic,Petrol,20000.0,"Wennappuwa, Puttalam",144000000,18.78532386448472
ikman,Toyota,Raize,2025.0,1.0,0.0,0.0,Automatic,Petrol,12000.0,"Dehiwala, Colombo",148000000,18.812722838485147
ikman,Daihatsu,Hijet,2006.0,20.0,1000000.0,13.815511557963774,Other,Other,6500.0,"Kadawatha, Gampaha",32000000,17.281246492014
ikman,Honda,Other,2026.0,0.0,0.0,0.0,Automatic,Electric,480.0,Nugegoda,92950000,18.347572282890198
ikman,Toyota,Premio,2007.0,19.0,1640000.0,14.310207409556293,Automatic,Petrol,15000.0,"Dehiwala, Colombo",88750000,18.301333997587406
ikman,Nissan,Other,2014.0,12.0,1245000.0,14.034646891093473,Automatic,Electric,700.0,"Piliyandala, Colombo",75000000,18.132998684833918
ikman,Hyundai,Venue,2026.0,0.0,200.0,5.303304908059076,Automatic,Petrol,10000.0,"Dehiwala, Colombo",135000000,18.72078534381011
ikman,Nissan,Vanette,1999.0,27.0,1740000.0,14.36939624590319,Other,Other,21800.0,"Piliyandala, Colombo",54500000,17.813711277982097
ikman,Suzuki,Alto,2024.0,2.0,75000.0,11.225256725762893,Automatic,Hybrid,6500.0,"Gampola, Kandy",70500000,18.071123281966894
ikman,Nissan,Sunny,1989.0,37.0,2281100.0,14.640168779111324,Manual,Petrol,15000.0,"Divulapitiya, Gampaha",17750000,16.691896130223725
ikman,Suzuki,Maruti,2011.0,15.0,950000.0,13.76421831620775,Manual,Petrol,8000.0,"Akuressa, Matara",27750000,17.138746434192754
ikman,Mitsubishi,Other,1968.0,58.0,800000.0,13.592368256649284,Manual,Diesel,27000.0,"Horana, Kalutara",25000000,17.034386422832473
ikman,Suzuki,Every,2025.0,1.0,3500.0,8.160803920954665,Other,Other,6580.0,"Nittambuwa, Gampaha",103000000,18.450239555902648
ikman,Suzuki,Alto,2025.0,1.0,20000.0,9.90353755128617,Automatic,Petrol,6600.0,"Katugastota, Kandy",68750000,18.04598730905641
ikman,Suzuki,Every,2025.0,1.0,0.0,0.0,Other,Other,6600.0,"Kiribathgoda, Gampaha",77750000,18.169009121885352
ikman,Suzuki,Other Model,2025.0,1.0,80.0,4.394449154672439,Automatic,Petrol,6600.0,"Matara City, Matara",100000000,18.420680753952364
ikman,Suzuki,Every,2025.0,1.0,200.0,5.303304908059076,Other,Other,6600.0,"Dehiwala, Colombo",78000000,18.17221939747438
ikman,Toyota,Liteace,1990.0,36.0,2842900.0,14.860335567656088,Other,Other,19700.0,"Kaduwela, Colombo",31500000,17.265498135541893
ikman,Nissan,Sunny,1983.0,43.0,1988000.0,14.502640169216638,Manual,Petrol,13000.0,"Mawathagama, Kurunegala",11500000,16.257857680289998
ikman,Hyundai,Venue,2026.0,0.0,0.0,0.0,Automatic,Petrol,10000.0,"Negombo, Gampaha",135250000,18.72263548308458
ikman,Nissan,Sunny,1983.0,43.0,3162000.0,14.96671561300704,Manual,Petrol,15000.0,Kurunegala City,7800000,15.86963441986494
ikman,Kia,Sonet,2026.0,0.0,200.0,5.303304908059076,Automatic,Petrol,10000.0,"Dehiwala, Colombo",113750000,18.54951362458654
ikman,Daihatsu,Rocky,2025.0,1.0,50000.0,10.819798284210286,Automatic,Hybrid,12000.0,"Colombo 3, Colombo",133000000,18.705859693704824
ikman,Suzuki,Fronx,2026.0,0.0,0.0,0.0,Automatic,Hybrid,10000.0,"Boralesgamuwa, Colombo",115500000,18.56478109658413
ikman,Daihatsu,Mira,2025.0,1.0,35000.0,10.463131911491967,Automatic,Petrol,6500.0,"Boralesgamuwa, Colombo",71900000,18.09078683659948
ikman,Toyota,Other,2026.0,0.0,75000.0,11.225256725762893,Automatic,Petrol,9980.0,"Chavakachcheri, Jaffna",86000000,18.26985786584569
ikman,Nissan,Other,1993.0,33.0,1998700.0,14.508008027507719,Other,Other,20000.0,,24950000,17.03238442024196
