listing_id,source_site,url,scrape_timestamp,ad_date,title,brand,model,trim,year,price_lkr,price_raw,is_negotiable,mileage_km,mileage_raw,fuel_type,transmission,engine_cc,body_type,condition,location,options,description,seller_hash,is_dealer_guess,is_promoted,views,parse_warnings
nissan-x-trail-t32-hybrid-2wd-2015-for-sale-colombo,ikman,https://ikman.lk/en/ad/nissan-x-trail-t32-hybrid-2wd-2015-for-sale-colombo,2026-07-18T17:01:34,04 Jul 11:03 am,Nissan X-Trail T32 Hybrid 2WD 2015 for Sale in Polgasowita | ikman,Nissan,X-Trail,T32 Hybrid 2WD,2015,10200000,"Rs 10,200,000",True,109010,"109,010 km",Petrol,Automatic,2000,suv,used,"Polgasowita, Colombo",,"Nissan X-Trail T32 Hybrid 2015 â Well Maintained Family SUV ð Nissan X-Trail T32 Hybrid 2015 â 2000cc Hybrid Engine â Cruise Control â Sunroof â Power Tailgate â Mileage: 109,010 km â Factory fitted 360 Camera â Color: Titanium Karki A carefully used family vehicle in excellent condition. All periodic maintenance and services have been carried out on time, ensuring reliable performance and peace of mind. â Smooth driving experience with excellent fuel efficiency from the hybrid system â Spacious, comfortable, and ideal for family use â Recently completed a full gearbox repair/rebuild â Gearbox warranty valid until August 2026 ð° Price: Rs. 10,200,000 (Negotiable) Serious buyers only. Inspection can be arranged upon request.",a2472ffd15152ac3,True,False,3108,
suzuki-every-full-join-non-turbo-2026-for-sale-colombo-3,ikman,https://ikman.lk/en/ad/suzuki-every-full-join-non-turbo-2026-for-sale-colombo-3,2026-07-18T17:01:34,16 Jul 11:14 am,Suzuki Every FULL JOIN NON TURBO 2026 | Kohuwala | ikman,Suzuki,Every,FULL JOIN NON TURBO,2026,9060000,"Rs 9,060,000",True,0,0 km,,,650,van,new,"Kohuwala, Colombo",,,,True,False,62,
bmw-x1-m-sport-latest-b-new-2025-for-sale-colombo,ikman,https://ikman.lk/en/ad/bmw-x1-m-sport-latest-b-new-2025-for-sale-colombo,2026-07-18T17:01:34,12 Jul 1:49 pm,BMW X1 M Sport Latest B/new 2025 for Sale in Kohuwala | ikman,BMW,X1,M Sport Latest B/new,2025,34500000,"Rs 34,500,000",True,0,0 km,Petrol,Automatic,1500,suv,new,"Kohuwala, Colombo",,,,True,False,408,
honda-crv-vti-l7-2024-for-sale-colombo-51,ikman,https://ikman.lk/en/ad/honda-crv-vti-l7-2024-for-sale-colombo-51,2026-07-18T17:01:34,12 Jul 5:05 pm,Honda CRV VTI L7 2024 for Sale in Boralesgamuwa | ikman,Honda,CRV,VTI L7,2024,27950000,"Rs 27,950,000",True,9000,"9,000 km",Petrol,Automatic,1500,suv,used,"Boralesgamuwa, Colombo",,,,True,False,201,
volkswagen-tiguan-r-line-2026-for-sale-colombo-1,ikman,https://ikman.lk/en/ad/volkswagen-tiguan-r-line-2026-for-sale-colombo-1,2026-07-18T17:01:34,16 Jul 9:36 am,Volkswagen Tiguan R Line 2026 for Sale in Kotte | ikman,Volkswagen,Tiguan,R Line,2026,41000000,"Rs 41,000,000",True,0,0 km,Petrol,Automatic,1500,suv,new,"Kotte, Colombo",,,,True,False,115,
nissan-ad-wagon-1985-for-sale-kurunegala-2,ikman,https://ikman.lk/en/ad/nissan-ad-wagon-1985-for-sale-kurunegala-2,2026-07-18T17:01:34,16 Jul 4:27 pm,Nissan AD Wagon 1985 for Sale in Wariyapola | ikman,Nissan,AD Wagon,,1985,775000,"Rs 775,000",True,110000,"110,000 km",Petrol,Manual,1300,car,used,"Wariyapola, Kurunegala",,Good condition 🧀 Clear documents 🍂 Money urgent Cal for more details,c563bc817c79a90c,False,False,55,
suzuki-swift-2005-for-sale-kandy-131,ikman,https://ikman.lk/en/ad/suzuki-swift-2005-for-sale-kandy-131,2026-07-18T17:01:34,17 Jul 1:40 pm,Suzuki Swift 2005 for Sale in Akurana | ikman,Suzuki,Swift,,2005,5875000,"Rs 5,875,000",True,150000,"150,000 km",Petrol,Automatic,1300,car,used,"Akurana, Kandy",,"🚗 Suzuki Swift ZC11s 2005 – Automatic | Excellent Condition | Fuel Efficient 🚗 🔹 Vehicle Details - Brand: Suzuki (Japan) - Model: Swift ZC11s - Manufactured Year: 2005 - Registered Year: 2009 - Transmission: Automatic - Engine Capacity: 1300cc - Color: Red - Mileage: 150,000km (Genuine Mileage) ⛽ Fuel Economy - Long Distance: 14 – 17 km/L - City Driving: 10 – 12 km/L ✨ Features & Specifications ✔ Power Steering ✔ Power Windows ✔ Auto Climate Control A/C ✔ Central Locking ✔ ABS Brakes ✔ Dual Airbags ✔ Alloy Wheels ✔ Intelligent Key ✔ 10-Inch Android Player ✔ Built-in Speakers ✔ Rexine Seat Covers 💰 Price: Rs. 5,875,000 ✅ Reliable Japanese vehicle ✅ Compact and easy to drive ✅ Ideal for city use and family travel ✅ Well-maintained and ready for immediate use 📞 Contact for more details or to arrange an inspection. Serious buyers only.",93ada3221e620cb8,False,False,1884,
suzuki-every-safety-2025-for-sale-galle-3,ikman,https://ikman.lk/en/ad/suzuki-every-safety-2025-for-sale-galle-3,2026-07-18T17:01:34,23 Jun 10:08 pm,Suzuki Every Safety 2025 | Galle City | ikman,Suzuki,Every,Safety,2025,8200000,"Rs 8,200,000",True,0,0 km,,,650,van,new,"Galle City, Galle",,,,True,False,1425,
toyota-kdh-gdh-223-2025-for-sale-gampaha,ikman,https://ikman.lk/en/ad/toyota-kdh-gdh-223-2025-for-sale-gampaha,2026-07-18T17:01:34,15 Jul 7:58 am,Toyota KDH GDH 223 2025 | Kadawatha | ikman,Toyota,KDH,GDH 223,2025,28900000,"Rs 28,900,000",True,50,50 km,,,3000,van,new,"Kadawatha, Gampaha",,,,True,False,218,
toyota-liteace-1983-for-sale-kandy-1,ikman,https://ikman.lk/en/ad/toyota-liteace-1983-for-sale-kandy-1,2026-07-18T17:01:34,15 Jul 8:41 pm,Toyota Liteace 1983 | Katugastota | ikman,Toyota,Liteace,Toyota,1983,2650000,"Rs 2,650,000",True,430000,"430,000 km",,,1500,van,used,"Katugastota, Kandy",,,,True,False,426,
