listing_id,source_site,url,scrape_timestamp,ad_date,title,brand,model,trim,year,price_lkr,price_raw,is_negotiable,mileage_km,mileage_raw,fuel_type,transmission,engine_cc,body_type,condition,location,options,description,seller_hash,is_dealer_guess,is_promoted,views,parse_warnings
11972104,riyasewana,https://riyasewana.com/buy/toyota-premio-sale-kurunegala-11972104,2026-07-18T17:29:26,"2026 Jul 17, 10:43 am",Toyota Premio,Toyota,Premio,,2017,14450000,"Rs. 14,450,000",False,119,119 km,Petrol,Automatic,1500,car,used,Kurunegala,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,1st owner Mint condition Toyota lanka maintained from day 1 All company records available Genuine milage Body paint original 100% Accident free,aa2da89b4ae04e39,True,True,355,mileage_implausibly_low
11979583,riyasewana,https://riyasewana.com/buy/toyota-aqua-g-sale-colombo-11979583,2026-07-18T17:29:26,"2026 Jul 18, 11:11 am",Toyota Aqua G Grade,Toyota,Aqua G Grade,,2013,7450000,"Rs. 7,450,000",False,160000,"160,000 km",Hybrid,Automatic,1500,car,used,Colombo,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,"Registered 2015, 2 nd Owner G grade Push start dual multifuntion fuel - 25-30 km Battery replace,A B S repair records avalable Service- Toyota lanka & Local service station All records evalable Genuene milege 100% Accident Free",17170c5a8a57ce7c,False,False,35,
11979620,riyasewana,https://riyasewana.com/buy/toyota-premio-g-sale-dehiwala-mount-lavinia-11979620,2026-07-18T17:29:26,"2026 Jul 18, 11:14 am",Toyota Premio G Superior,Toyota,Premio G Superior,,2017,14700000,"Rs. 14,700,000",False,990000,"990,000 km",Petrol,Automatic,1500,car,used,Dehiwala-Mount-Lavinia,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,Company maintained,63524dcaff3c848c,False,False,8,
11979577,riyasewana,https://riyasewana.com/buy/toyota-vitz-sale-colombo-11979577,2026-07-18T17:29:26,"2026 Jul 18, 11:10 am",Toyota Vitz,Toyota,Vitz,,2016,7550000,"Rs. 7,550,000",False,80000,"80,000 km",Petrol,Automatic,1000,car,used,Colombo,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,Toyota vitz 2016. Registered 2018 1 st owner DVD reverse cam All records Available,08cb3a6b170facac,False,False,23,
11979623,riyasewana,https://riyasewana.com/buy/toyota-premio-g-sale-nugegoda-11979623,2026-07-18T17:29:26,"2026 Jul 18, 11:15 am",Toyota Premio G Superior,Toyota,Premio G Superior,,2008,9300000,"Rs. 9,300,000",False,196000,"196,000 km",Petrol,Automatic,1500,car,used,Nugegoda,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,🔴Toyota Premio G Superior 🔴2008/2011 🔴Fully loaded 🔴Beige Interior 🔴Rear viper. 🔴Mileage 196000 kms 🔴93/= ☎️ 077 731 6169 077 748 5820,357a4dc604003f44,False,False,13,
11979601,riyasewana,https://riyasewana.com/buy/suzuki-alto-sale-kurunegala-11979601,2026-07-18T17:29:26,"2026 Jul 18, 11:13 am",Suzuki Alto,Suzuki,Alto,,2016,4350000,"Rs. 4,350,000",False,75000,"75,000 km",Petrol,Manual,800,car,used,Kurunegala,AIR CONDITION|POWER STEERING|POWER WINDOW,good condition car for sale,1af9b36686b0ae84,False,False,16,
11979615,riyasewana,https://riyasewana.com/buy/toyota-premio-g-sale-kesbewa-11979615,2026-07-18T17:29:26,"2026 Jul 18, 11:14 am",Toyota Premio G Superior,Toyota,Premio G Superior,,2017,14525000,"Rs. 14,525,000",False,162200,"162,200 km",Petrol,Automatic,1500,car,used,Kesbewa,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,2nd owner Original paint Service record available New tayar batary,fa94fdf5208a762c,False,False,10,
11979596,riyasewana,https://riyasewana.com/buy/toyota-prius-3rd-sale-galle-11979596,2026-07-18T17:29:26,"2026 Jul 18, 11:12 am",Toyota Prius 3rd Generation,Toyota,Prius 3rd Generation,,2012,,Negotiable,True,0,0 km,Hybrid,Automatic,1800,car,used,Galle,,CAA-XXXX Toyota Prius 3rd Generation Manufactured 2012 Registration 2014 Power Window Power Mirror TV DVD Reverse Camera Battery and ABS Good 👍,e11dad247a591978,False,False,11,mileage_implausibly_low
11979590,riyasewana,https://riyasewana.com/buy/suzuki-swift-sale-nittambuwa-11979590,2026-07-18T17:29:26,"2026 Jul 18, 11:11 am",Suzuki Swift,Suzuki,Swift,,2004,4275000,"Rs. 4,275,000",False,175000,"175,000 km",Petrol,Automatic,1300,car,used,Nittambuwa,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,New tires Retractractable mirror Rewerse camera Ac %100 Runnig good,5dcbe6d3779ab6f9,False,False,16,
11979574,riyasewana,https://riyasewana.com/buy/toyota-yaris-black-sale-kadawatha-11979574,2026-07-18T17:29:26,"2026 Jul 18, 11:10 am",Toyota Yaris Black Edition 360 Cam,Toyota,Yaris Black Edition 360 Cam,,2026,10750000,"Rs. 10,750,000",False,1,1 km,Petrol,Automatic,1000,car,new,Kadawatha,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,Toyota Yaris Black Edition 2026 Manufactured Upgraded Version Brand New / Unregistered Highest Spec 4 Way Camera Pearl White Color with Black Edition Highest Grade with All options are available Auction Grade SAA Brand New Push Start With Smart Intelligent Key Radar Auto Break System Lane Departure Alarm 14” Tyre Size 4 Way Camera (360° Bird View Camera) 4 Way Drive & Parking Coner Sensor LED Head Light Seat Heaters Winkkor Mirrors TV DVD With 360° Bird View Camera Dual Multifunction Steering Rear Wiper Rear Spoiler 8 Air Bags Auto Rectractable Mirrors LED Head Lights Many options are available JAAI Inspection Certificate & Auction Sheet Available Very Fuel Economical Car Fuel Consumption Long Distance 20- 24 Km Per Liter City Limits 18 - 20 Km Per Liter 3 Years or 100000 Km Warranty & Free Services Available,999c7bcf45e0ac1f,True,True,6,
11979609,riyasewana,https://riyasewana.com/buy/toyota-axio-sale-kurunegala-11979609,2026-07-18T17:29:26,"2026 Jul 18, 11:13 am",Toyota Axio,Toyota,Axio,,2017,,Negotiable,True,124000,"124,000 km",Petrol,Automatic,1249,car,used,Kurunegala,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,"Toyota Axio WXB 2018 Down payment-3500000/= Manufactured Year - 2017 Registered Year - 2018 CAZ ×××× Pearl white Genuine mileage- 124000km Safety Push strat Lane Departure Dual Climate Controller A/C , Heater Keyless Entry Safety Braking System Multy Function Scoop Light Auto Headlights Beam LED Head Lamps with Fog Lamps 8 Air Bags Power Mirrors With Retractable Auto Fold Winker Mirrors Black Interior In a Perfect Condition Tv & Reverse Camera 16"" Factory Fitted Alloy Wheels ABS 100% Hybrid battery 100% 100% original paint No any touchups or paint . Body 100% Interior 100% 100% accident free vehicle. CALL AND WHATSAPP ￼￼0704815371",48c64e940cda9cea,True,False,14,
11979618,riyasewana,https://riyasewana.com/buy/micro-panda-sale-kaduwela-11979618,2026-07-18T17:29:26,"2026 Jul 18, 11:14 am",Micro Panda,Micro,Panda,,2016,3750000,"Rs. 3,750,000",False,29000,"29,000 km",Petrol,Manual,1300,car,used,Kaduwela,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,1st owner 2016 Low milage Show room condition Orginal Paint New tyre New battery නිවසේ පාවිච්චි කරන ලද ඉතා අඩු ධාවනයක් සහිත සියළු උපාංග හොඳින් වැඩ කරන කිසිඳු අඩුපාඩුවක් නොමැති හොඳම තත්වයේ කාර් රථය පාවිච්චිය සඳහා හොඳම වාහනයක් සොයන අයෙකුට ඉක්මනින් විකිණීමට,16df9f17d272c6aa,False,False,21,
11948707,riyasewana,https://riyasewana.com/buy/nissan-leaf-sale-pannipitiya-11948707,2026-07-18T17:29:26,"2026 Jul 18, 11:11 am",Nissan Leaf,Nissan,Leaf,,2012,6800000,"Rs. 6,800,000",False,116000,"116,000 km",Electric,Automatic,40,car,used,Pannipitiya,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,Very Economical car that I have been using for 3 years. Selling due to upgrading. * ZEO 2012 * Condition: Used * Fuel Type: Electric * Transmission: Automatic * Brand New 40KWH Batter with 2 years replacement warrenty * 3rd Owner * Range 280km with AC,2a7f42c1f345139f,False,False,11,
11979630,riyasewana,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-11979630,2026-07-18T17:29:26,"2026 Jul 18, 11:16 am",Suzuki Wagon R Stingray,Suzuki,Wagon R Stingray,,2017,,Negotiable,True,124000,"124,000 km",Petrol,Automatic,650,car,used,Kurunegala,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,"* Suzuki wagon stingray * ⁠2017/2018 * ⁠124000km * ⁠2nd owner * ⁠original paint * Manufacturing Year 2017 * Registered year 2018 * body in mint condition ✔️ * interior Good condition ✔️ * Air condition * power steering * power window * DVD setup & Reverse camer * Traction control * Good condition car * Price negotiable ✅ Call * ⁠Can see kurunagala * ⁠downe payment-1800000/= * ⁠Location- Kurunagala,Mawthgama Hot line-0717333267 0715333267 0704815371 0776843565",48c64e940cda9cea,True,False,8,
11979571,riyasewana,https://riyasewana.com/buy/renault-kwid-sale-horana-11979571,2026-07-18T17:29:26,"2026 Jul 18, 11:10 am",Renault Kwid,Renault,Kwid,,2016,3750000,"Rs. 3,750,000",False,132000,"132,000 km",Petrol,Manual,800,car,used,Horana,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,,c2201d462fd3cd8e,False,False,11,
11979641,riyasewana,https://riyasewana.com/buy/suzuki-celerio-sale-colombo-11979641,2026-07-18T17:29:26,"2026 Jul 18, 11:18 am",Suzuki Celerio,Suzuki,Celerio,,2015,5680000,"Rs. 5,680,000",False,42000,"42,000 km",Petrol,Automatic,990,car,used,Colombo,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,Celerio VXI 2015 2nd owner 42000km mileage All service records available Anroid car play player HD Reverse Camera Front new tyres GT LINE New Battery SHOW ROOM CONDITION 0705958868,9b28929117dd1e3b,False,False,8,
11979628,riyasewana,https://riyasewana.com/buy/toyota-premio-g-sale-balangoda-11979628,2026-07-18T17:29:26,"2026 Jul 18, 11:16 am",Toyota Premio G Superior,Toyota,Premio G Superior,,2017,14300000,"Rs. 14,300,000",False,114000,"114,000 km",Petrol,Automatic,1490,car,used,Balangoda,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,1 Owner 143/- No Negotiation. Please don't waste the time,7e9e22013a31229d,False,False,17,
11979667,riyasewana,https://riyasewana.com/buy/renault-kwid-sale-kaduwela-11979667,2026-07-18T17:29:26,"2026 Jul 18, 11:21 am",Renault Kwid,Renault,Kwid,,2016,3825000,"Rs. 3,825,000",False,120000,"120,000 km",Petrol,Manual,800,car,used,Kaduwela,AIR CONDITION|POWER STEERING|POWER MIRROR|POWER WINDOW,*** Renault Kwid 2016*** 2nd owner Android player with subwoofer Reverse camera Genuine milage 137000km Navigation with google maps Blutooth Video player Original remote key Fully carpets YOM 2016 Records are available Call me for more informations ￼⁨076 564 1331⁩ price Rs :-3825000/- Leasing facility can be arrange according to your need within one day,cc143ec96c104fa4,False,False,10,
11979573,riyasewana,https://riyasewana.com/buy/nissan-sunny-sale-piliyandala-11979573,2026-07-18T17:29:26,"2026 Jul 18, 11:10 am",Nissan Sunny,Nissan,Sunny,,1987,1375000,"Rs. 1,375,000",False,1,1 km,Petrol,Manual,1290,car,used,Piliyandala,AIR CONDITION,"Nissan Sunny 1987 brand new Manual transmission Power mirrors Vehicle in original condition Rs. 1,375,000/- Price can negotiable after inspection Exchange considered Leasing facilities can be arranged 0762116679 0741350500 Can be seen @piliyandala",4c1029697ee35871,False,False,13,mileage_implausibly_low
